2018/10/28 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:    00W, Arr:    16W, Flight Time: 00:38:34, Errors:   1, Landing: B,   109 ft/min,  1.17g,   1 bounce(s)
2018/10/28 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:    16W, Arr:   KPSC, Flight Time: 00:47:29, Errors:   0, Landing: C,   316 ft/min,  2.36g,   3 bounce(s)
2018/10/28 Aircraft: ['Dornier Do 228']                      , Dep:   SCPH, Arr:   SCST, Flight Time: 00:20:44, Errors:   0, Landing: A,    91 ft/min,  1.7 g,   0 bounce(s)
2018/10/30 Aircraft: ['Dornier Do 228']                      , Dep:   SCST, Arr:   SCAC, Flight Time: 00:07:39, Errors:   2, Landing: C,   270 ft/min,  1.34g,   0 bounce(s)
2018/11/ 1 Aircraft: ['Dornier Do 228']                      , Dep:   SCAC, Arr:   SCTI, Flight Time: 00:18:18, Errors:   0, Landing: B,   145 ft/min,  1.73g,   1 bounce(s)
2018/11/ 1 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   KPSC, Arr:   WA68, Flight Time: 00:08:57, Errors:   0, Landing: C,   140 ft/min,  2.1 g,   2 bounce(s)
2018/11/ 2 Aircraft: ['Dornier Do 228']                      , Dep:   SCTI, Arr:   SCSE, Flight Time: 00:20:53, Errors:   3, Landing: B,   160 ft/min,  1.19g,   0 bounce(s)
2018/11/ 2 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   KPSC, Arr:   WA68, Flight Time: 00:23:51, Errors:   2, Landing: C,   341 ft/min,  1.53g,   3 bounce(s)
2018/11/ 2 Aircraft: ['Bell 407']                            , Dep:   S691, Arr:   3U93, Flight Time: 00:11:32, Errors:   2, Landing: B,   242 ft/min,  1.93g,   0 bounce(s)
2018/11/ 2 Aircraft: ['Bell 407']                            , Dep:   3U93, Arr:   9S54, Flight Time: 00:14:15, Errors:   5, Landing: B,   201 ft/min,  1.62g,   0 bounce(s)
2018/11/ 2 Aircraft: ['Bell 407']                            , Dep:   9S54, Arr:   3U91, Flight Time: 00:05:45, Errors:   2, Landing: B,   148 ft/min,  1.43g,   0 bounce(s)
2018/11/ 3 Aircraft: ['AB 412']                              , Dep:   38S3, Arr:   S691, Flight Time: 00:05:31, Errors:   4, Landing: B,   123 ft/min,  1.34g,   0 bounce(s)
